"","V1","V2","V3"
"1",0,0,0
"2",1,1,1
"3",0,1,1
"4",1,0,0
"5",1,1,1
"6",1,0,0
"7",1,1,1
"8",0,0,0
"9",1,0,1
"10",1,0,0
"11",1,0,1
"12",1,1,1
"13",0,0,0
"14",1,1,1
"15",1,0,0
"16",0,0,1
"17",0,0,0
"18",0,1,0
"19",0,0,0
"20",0,0,0
"21",0,0,0
"22",0,0,0
"23",0,1,0
"24",1,1,1
"25",0,1,0
"26",1,0,1
"27",1,0,0
"28",1,0,1
"29",1,1,1
"30",0,1,0
"31",0,1,0
"32",0,1,0
"33",0,0,0
"34",1,0,0
"35",0,1,1
"36",1,0,1
"37",0,0,0
"38",0,0,0
"39",0,0,1
"40",1,0,1
"41",1,1,0
"42",1,1,1
"43",0,0,0
"44",0,1,0
"45",0,0,0
"46",0,0,0
"47",1,0,1
"48",0,1,0
"49",1,1,0
"50",0,0,0
"51",0,0,0
"52",1,0,0
"53",0,1,1
"54",0,1,1
"55",0,0,0
"56",1,0,1
"57",0,0,0
"58",1,1,1
"59",0,1,0
"60",1,1,1
"61",1,0,1
"62",1,0,0
"63",0,1,0
"64",1,0,1
"65",0,0,0
"66",1,1,1
"67",0,0,0
"68",1,0,0
"69",1,0,1
"70",1,1,1
"71",0,0,0
"72",0,0,1
"73",0,1,0
"74",1,1,1
"75",0,0,0
"76",1,0,0
"77",0,1,0
"78",0,1,0
"79",0,0,0
"80",1,1,1
"81",1,0,1
"82",1,1,0
"83",0,1,0
"84",0,0,1
"85",0,1,0
"86",0,0,1
"87",0,1,0
"88",0,0,0
"89",0,0,0
"90",1,0,1
"91",0,1,0
"92",1,0,1
"93",1,1,0
"94",1,0,0
"95",0,0,0
"96",0,0,0
"97",0,1,0
"98",1,0,0
"99",1,0,0
"100",1,0,1
"101",1,0,0
"102",1,0,0
"103",0,1,0
"104",0,1,0
"105",0,0,0
"106",0,1,1
"107",0,1,0
"108",0,0,0
"109",0,1,0
"110",0,0,0
"111",0,0,1
"112",1,1,1
"113",1,0,1
"114",0,0,0
"115",0,1,0
"116",0,0,0
"117",1,0,1
"118",0,0,0
"119",0,0,1
"120",1,1,0
"121",1,1,1
"122",1,1,1
"123",1,1,1
"124",1,0,1
"125",0,1,1
"126",0,1,1
"127",0,0,0
"128",1,1,1
"129",0,0,1
"130",0,0,0
"131",1,1,0
"132",0,0,0
"133",1,1,0
"134",1,1,0
"135",1,0,1
"136",0,0,0
"137",1,0,1
"138",1,1,0
"139",1,1,1
"140",0,0,1
"141",0,1,0
"142",0,1,1
"143",0,1,0
"144",1,0,0
"145",1,1,0
"146",1,1,0
"147",1,1,0
"148",0,0,0
"149",0,0,1
"150",1,0,1
"151",0,1,0
"152",0,0,0
"153",0,1,0
"154",1,0,1
"155",0,0,0
"156",1,0,1
"157",1,1,1
"158",1,0,0
"159",1,1,0
"160",0,1,0
"161",1,1,1
"162",0,0,1
"163",0,0,0
"164",0,0,1
"165",0,0,0
"166",1,0,1
"167",1,1,1
"168",0,0,1
"169",1,1,1
"170",0,1,0
"171",1,1,1
"172",1,0,0
"173",1,1,1
"174",0,0,0
"175",0,0,1
"176",1,1,0
"177",1,0,0
"178",0,0,0
"179",1,1,0
"180",1,1,0
"181",1,0,1
"182",0,1,0
"183",1,1,0
"184",0,1,0
"185",0,0,1
"186",0,0,0
"187",1,1,1
"188",1,1,1
"189",0,0,0
"190",1,1,1
"191",0,0,1
"192",1,1,1
"193",0,0,0
"194",1,1,1
"195",1,1,1
"196",1,0,1
"197",1,1,0
"198",1,0,0
"199",0,0,1
"200",1,0,0
